Dátum;Napi esetszám [fő/nap];Napi tesztszám [db/nap];Tesztpozitivitás [%]
2020-11-08;5162;16248;31,7700640078779
2020-11-09;4140;13068;31,6804407713499
2020-11-10;3945;20987;18,7973507409349
2020-11-11;3927;23521;16,6957187194422
2020-11-12;5097;23912;21,3156574105052
2020-11-13;4836;19140;25,2664576802508
2020-11-14;4238;28715;14,7588368448546
2020-11-15;6495;16695;38,9038634321653
2020-11-16;5203;16695;31,1650194669063
2020-11-17;4290;21519;19,9358706259585
2020-11-18;4512;23357;19,3175493428094
2020-11-19;4440;22860;19,4225721784777
2020-11-20;4397;24806;17,7255502700959
2020-11-21;4320;22173;19,4831551887431
2020-11-22;3334;15311;21,7751943047482
2020-11-23;3929;10144;38,7322555205047
2020-11-24;3806;20016;19,0147881694644
2020-11-25;6360;31879;19,9504375921453
2020-11-26;6393;21006;30,4341616680948
2020-11-27;6268;21562;29,0696595863093
2020-11-28;6819;16311;41,8061430936178
2020-11-29;5595;8946;62,541918175721
2020-11-30;3951;5758;68,617575547065
2020-12-01;4136;14944;27,6766595289079
2020-12-02;6635;26044;25,4761173398863
2020-12-03;6212;18479;33,6165376914335
2020-12-04;5525;23290;23,7226277372263
2020-12-05;6697;23681;28,2800557408893
2020-12-06;3870;21424;18,0638536221061
2020-12-07;2219;9527;23,2916972814107
2020-12-08;3221;28737;11,2085464731879
2020-12-09;5415;29325;18,4654731457801
2020-12-10;6197;28603;21,6655595566899
2020-12-11;5047;30452;16,5736240641009
2020-12-12;4153;25239;16,4546931336424
2020-12-13;3470;19245;18,0306573135879
2020-12-14;1893;10903;17,3621938915895
2020-12-15;2804;12636;22,1905666350111
2020-12-16;2982;18362;16,2400609955343
2020-12-17;4428;32067;13,8085882683132
2020-12-18;4045;24204;16,7121137002148
2020-12-19;2967;24033;12,345524903258
2020-12-20;2141;15451;13,8567083036697
2020-12-21;1238;7937;15,5978329343581
2020-12-22;1894;21239;8,91755732379114
2020-12-23;3292;26186;12,5716031467196
2020-12-24;2610;22154;11,781168186332
2020-12-25;1198;9494;12,6184958921424
2020-12-26;698;3292;21,2029161603888
2020-12-27;609;4647;13,1052291801162
2020-12-28;902;6190;14,5718901453958
2020-12-29;1972;18302;10,774778712709
2020-12-30;2971;17390;17,0845313398505
2020-12-31;2764;18128;15,2471315092674
2021-01-01;1410;10697;13,1812657754511
2021-01-02;1307;5960;21,9295302013423
2021-01-03;856;8727;9,80863985332875
2021-01-04;870;6521;13,341512038031
2021-01-05;2047;22729;9,00611553521932
2021-01-06;3068;24290;12,630712227254
2021-01-07;2907;24024;12,1003996003996
2021-01-08;2716;21823;12,4455849333272
2021-01-09;1778;19262;9,23060949018794
2021-01-10;1419;12567;11,2914776796371
2021-01-11;696;8223;8,46406421014228
2021-01-12;1358;18550;7,32075471698113
2021-01-13;1926;19634;9,80951410817969
2021-01-14;1513;19098;7,92229552832757
2021-01-15;1438;18339;7,84121271606958
2021-01-16;1241;17275;7,18379160636758
2021-01-17;875;9903;8,83570635161062
2021-01-18;573;5130;11,1695906432749
2021-01-19;976;16005;6,09809434551703
2021-01-20;1410;15577;9,05180715156962
2021-01-21;1311;18064;7,25752878653676
2021-01-22;1344;17238;7,79672815871911
2021-01-23;1257;16441;7,64552034547777
2021-01-24;844;10064;8,38632750397456
2021-01-25;459;5531;8,2986801663352
2021-01-26;1004;17053;5,88752712132763
2021-01-27;1569;13093;11,9835026349958
2021-01-28;1459;18975;7,68906455862978
2021-01-29;1370;21362;6,41325718565677
2021-01-30;1307;20142;6,48892860689107
2021-01-31;1124;10862;10,3480022095378
2021-02-01;578;7794;7,41596099563767
2021-02-02;1048;15434;6,79020344693534
2021-02-03;1652;18171;9,09140938858621
2021-02-04;1576;18693;8,4309634622586
2021-02-05;1561;17596;8,8713343941805
2021-02-06;1370;19024;7,20142977291842
2021-02-07;1160;9720;11,9341563786008
2021-02-08;1079;6410;16,8330733229329
2021-02-09;1279;16822;7,60313874687909
2021-02-10;1862;20036;9,29327211020164
2021-02-11;1860;19439;9,56839343587633
2021-02-12;2020;19383;10,4215033792499
2021-02-13;1707;19515;8,74711760184474
2021-02-14;1337;11270;11,8633540372671
2021-02-15;823;6227;13,216637224988
2021-02-16;1548;19339;8,00455039040281
2021-02-17;2853;20855;13,6801726204747
2021-02-18;3093;22660;13,6496028243601
2021-02-19;2995;22906;13,0751768095695
2021-02-20;2912;23167;12,5696033150602
2021-02-21;2623;15925;16,4709576138148
2021-02-22;1628;9326;17,4565730216599
2021-02-23;2855;23399;12,2013761271849
2021-02-24;4385;25509;17,1900113685366
2021-02-25;4668;27128;17,2073134768505
2021-02-26;4948;27814;17,7896023585245
2021-02-27;4469;27630;16,1744480636989
2021-02-28;4326;20230;21,3840830449827
2021-03-01;2764;12818;21,5634264315806
2021-03-02;4211;25723;16,3705633091008
2021-03-03;6278;30794;20,387088393843
2021-03-04;6369;31274;20,3651595574599
2021-03-05;7269;35671;20,377898012391
2021-03-06;6201;33771;18,3619081460425
2021-03-07;2696;23890;11,2850565089996
2021-03-08;6494;17265;37,6136692730959
2021-03-09;5653;30752;18,3825442247659
2021-03-10;8312;33464;24,8386325603634
2021-03-11;9011;36796;24,4890748994456
2021-03-12;9444;41845;22,569004660055
2021-03-13;8863;42308;20,9487567363146
2021-03-14;7706;27472;28,0503785672685
2021-03-15;4926;18126;27,1764316451506
2021-03-16;3456;13649;25,3205363030259
2021-03-17;6502;26498;24,5377009585629
2021-03-18;10759;39598;27,1705641699076
2021-03-19;11132;40476;27,5027176598478
2021-03-20;10625;40979;25,9279142975671
2021-03-21;9046;31564;28,6592320364973
2021-03-22;5481;19279;28,4298978162768
2021-03-23;7587;33316;22,7728418777764
2021-03-24;9637;35417;27,2100968461473
2021-03-25;11265;40293;27,9577097758916
2021-03-26;10167;42553;23,8925575165088
2021-03-27;9082;29301;30,9955291628272
2021-03-28;7263;42479;17,0978601191177
2021-03-29;4609;18455;24,9742617176917
2021-03-30;6700;32754;20,4555168834341
2021-03-31;9288;40444;22,9650875284344
2021-04-01;9055;39993;22,6414622558948
2021-04-02;8637;36598;23,5996502541123
2021-04-03;6566;27094;24,2341477817967
2021-04-04;3874;18908;20,4886820393484
2021-04-05;1890;11194;16,8840450241201
2021-04-06;1933;12201;15,8429636915007
2021-04-07;4814;30023;16,0343736468707
2021-04-08;7325;35703;20,5164832086939
2021-04-09;8053;36612;21,9955205943407
2021-04-10;6296;36864;17,0789930555556
2021-04-11;5077;26360;19,2602427921093
2021-04-12;2837;15467;18,3422771060969
2021-04-13;3597;35181;10,2242687814445
2021-04-14;5307;21942;24,1864916598305
2021-04-15;5216;32023;16,2882927895575
2021-04-16;4604;30662;15,0153284195421
2021-04-17;3706;28310;13,0907806428824
2021-04-18;2680;19399;13,8151451105727
2021-04-19;1645;12952;12,7007411982705
2021-04-20;2527;22435;11,2636505460218
2021-04-21;3607;26406;13,6597742937211
2021-04-22;3427;27607;12,4135183105734
2021-04-23;2796;23847;11,724745250975
2021-04-24;2328;23223;10,0245446324764
2021-04-25;1936;16635;11,6381124135858
2021-04-26;1253;11389;11,0018438844499
2021-04-27;1692;18789;9,00526904039598
2021-04-28;2584;22379;11,5465391661826
2021-04-29;2365;23748;9,95873336702038
2021-04-30;1951;21112;9,24118984463812
2021-05-01;1593;21331;7,46800431297173
2021-05-02;1219;13754;8,8628762541806
2021-05-03;726;8408;8,63463368220742
2021-05-04;1130;16516;6,84185032695568
2021-05-05;1680;20890;8,0421254188607
2021-05-06;1541;18647;8,26406392449188
2021-05-07;1376;17021;8,08413136713472
2021-05-08;1145;17021;6,7269843134951
2021-05-09;677;10552;6,4158453373768
2021-05-10;493;6513;7,56947643175188
2021-05-11;905;15312;5,91039707419018
2021-05-12;1416;27818;5,09022934790424
2021-05-13;1190;18901;6,29596317655151
2021-05-14;1039;15500;6,70322580645161
2021-05-15;718;15826;4,53683811449514
2021-05-16;426;10365;4,10998552821997
2021-05-17;382;7104;5,37725225225225
2021-05-18;633;14662;4,31728277179102
2021-05-19;780;16324;4,77824062729723
2021-05-20;657;10631;6,18003950710187
2021-05-21;647;22650;2,85651214128035
2021-05-22;416;14049;2,96106484447292
2021-05-23;258;9544;2,70326906957251
2021-05-24;164;6368;2,57537688442211
2021-05-25;213;6240;3,41346153846154
2021-05-26;396;14459;2,73877861539526
2021-05-27;448;15551;2,88084367564787
2021-05-28;465;14945;3,11140849782536
2021-05-29;350;15242;2,29628657656476
2021-05-30;156;8052;1,93740685543964
2021-05-31;174;12782;1,36128931309654
2021-06-01;275;25148;1,09352632416097
2021-06-02;315;3436;9,16763678696158
2021-06-03;269;18673;1,44058265945483
2021-06-04;300;12572;2,38625517021954
2021-06-05;137;12789;1,07123309093752
2021-06-06;81;6618;1,22393472348141
2021-06-07;117;5878;1,99047294998299
2021-06-08;179;13560;1,32005899705015
2021-06-09;206;12570;1,63882259347653
2021-06-10;199;14013;1,4201098979519
2021-06-11;102;9899;1,03040711182948
2021-06-12;89;9899;0,89908071522376
2021-06-13;64;8485;0,75427224513848
2021-06-14;57;4846;1,17622781675609
2021-06-15;107;13108;0,816295392126945
2021-06-16;113;10903;1,03641199669816
2021-06-17;106;13492;0,785650756003558
2021-06-18;81;8739;0,926879505664264
2021-06-19;71;8739;0,812449937063737
2021-06-20;50;7491;0,667467627820051
2021-06-21;54;4318;1,25057897174618
2021-06-22;91;10710;0,849673202614379
2021-06-23;69;9732;0,709001233045623
2021-06-24;66;11167;0,591027133518402
2021-06-25;53;7744;0,684400826446281
2021-06-26;46;7744;0,59400826446281
2021-06-27;33;6639;0,497062810664257
2021-06-28;34;4296;0,791433891992551
2021-06-29;52;9457;0,549857248598921
2021-06-30;32;8234;0,388632499392762
2021-07-01;37;7391;0,500608848599648
2021-07-02;26;6386;0,407140620106483
2021-07-03;23;6386;0,360162856248043
2021-07-04;16;5475;0,292237442922374
2021-07-05;32;4168;0,767754318618042
2021-07-06;44;5087;0,864949872223314
2021-07-07;55;5765;0,954032957502168
2021-07-08;44;13201;0,333308082721006
2021-07-09;41;6466;0,634085988246211
2021-07-10;36;6466;0,55675842870399
2021-07-11;25;5542;0,451100685673042
2021-07-12;17;3996;0,425425425425425
2021-07-13;56;7194;0,778426466499861
2021-07-14;49;7456;0,657188841201717
2021-07-15;64;8767;0,730010265769362
2021-07-16;56;6646;0,842612097502257
2021-07-17;49;6646;0,737285585314475
2021-07-18;34;5697;0,596805336141829
2021-07-19;25;4358;0,57365764111978
2021-07-20;56;6541;0,856138205167406
2021-07-21;71;6641;1,06911609697335
2021-07-22;85;10007;0,849405416208654
2021-07-23;64;6695;0,955937266616878
2021-07-24;56;6695;0,836445108289769
2021-07-25;41;5739;0,714410175988848
2021-07-26;26;4351;0,597563778441738
2021-07-27;74;8338;0,88750299832094
2021-07-28;65;7164;0,907314349525405
2021-07-29;64;4580;1,39737991266376
2021-07-30;62;6921;0,89582430284641
2021-07-31;54;6921;0,780234070221066
2021-08-01;39;5933;0,657340300016855
2021-08-02;26;4067;0,639291861322842
2021-08-03;59;8089;0,729385585362838
2021-08-04;72;7138;1,00868590641636
2021-08-05;52;8226;0,632141988815949
2021-08-06;62;6777;0,91485908218976
2021-08-07;55;6777;0,811568540652206
2021-08-08;39;5808;0,671487603305785
2021-08-09;35;4076;0,858684985279686
2021-08-10;80;8177;0,97835391953039
2021-08-11;86;8274;1,03940053178632
2021-08-12;104;8435;1,23295791345584
2021-08-13;75;7382;1,0159848279599
2021-08-14;66;7382;0,894066648604714
2021-08-15;47;6328;0,742730720606827
2021-08-16;45;4180;1,07655502392344
2021-08-17;109;8294;1,31420303834097
2021-08-18;123;10125;1,21481481481481
2021-08-19;68;4332;1,56971375807941
2021-08-20;68;4333;1,56935148857604
2021-08-21;119;8665;1,3733410271206
2021-08-22;85;7428;1,14431879375337
2021-08-23;82;11728;0,699181446111869
2021-08-24;134;9346;1,43376845709394
2021-08-25;180;18410;0,977729494839761
2021-08-26;189;10117;1,86814273005832
2021-08-27;208;9402;2,21229525632844
2021-08-28;182;9402;1,93575834928739
2021-08-29;131;8059;1,62551185010547
2021-08-30;110;5618;1,95799216803133
2021-08-31;194;9695;2,00103145951521
2021-09-01;262;10951;2,39247557300703
2021-09-02;247;10882;2,26980334497335
2021-09-03;259;9813;2,63935595638439
2021-09-04;227;9813;2,31325792316315
2021-09-05;162;8412;1,92582025677603
2021-09-06;130;6801;1,91148360535215
2021-09-07;246;10794;2,27904391328516
2021-09-08;345;13214;2,61086726199485
2021-09-09;323;14329;2,25416986530812
2021-09-10;349;12821;2,72209656033071
2021-09-11;306;12821;2,38670930504641
2021-09-12;218;10989;1,98380198380198
2021-09-13;246;8963;2,74461675778199
2021-09-14;371;12892;2,87775364567173
2021-09-15;458;15682;2,92054584874378
2021-09-16;479;15580;3,07445442875481
2021-09-17;429;12919;3,32069045591764
2021-09-18;375;12919;2,90270144748046
2021-09-19;268;11073;2,4203016346067
2021-09-20;289;9892;2,92155276991508
2021-09-21;501;14118;3,54866128346791
2021-09-22;526;14192;3,70631341600902
2021-09-23;531;14435;3,67855905784551
2021-09-24;473;12387;3,81851941551627
2021-09-25;414;12387;3,34221361104384
2021-09-26;296;10618;2,78771896779054
2021-09-27;265;7518;3,52487363660548
2021-09-28;546;13033;4,18936545691706
2021-09-29;633;18313;3,45656091301261
2021-09-30;679;15154;4,48066517091197
2021-10-01;597;11289;5,28833377624236
2021-10-02;522;11289;4,62397023651342
2021-10-03;373;9677;3,85450036168234
2021-10-04;294;8122;3,61979807929082
2021-10-05;629;12107;5,19534153795325
2021-10-06;837;16194;5,1685809559096
2021-10-07;774;15718;4,92429062221657
2021-10-08;818;13781;5,93570858428271
2021-10-09;716;13781;5,19555910311298
2021-10-10;512;11811;4,33494200321734
2021-10-11;455;8102;5,61589730930634
2021-10-12;814;14075;5,78330373001776
2021-10-13;1141;16277;7,00989125760275
2021-10-14;1249;17554;7,11518742167027
2021-10-15;1310;15625;8,384
2021-10-16;1146;15625;7,3344
2021-10-17;818;13393;6,10766818487269
2021-10-18;859;9732;8,82655158240855
2021-10-19;1668;15524;10,7446534398351
2021-10-20;2361;19494;12,1114188981225
2021-10-21;2548;19830;12,8492183560262
2021-10-22;2675;18652;14,3416255629423
2021-10-23;2341;18652;12,550932875831
2021-10-24;1672;15986;10,4591517577881
2021-10-25;1701;11229;15,1482767833289
2021-10-26;3125;18922;16,5151675298594
2021-10-27;4039;27744;14,5581026528258
2021-10-28;4041;23069;17,5170141748667
2021-10-29;4484;28409;15,7837305079376
2021-10-30;3924;28409;13,8125242000774
2021-10-31;2803;24350;11,5112936344969
2021-11-01;1867;12132;15,3890537421695
2021-11-02;2595;12837;20,2150035054919
2021-11-03;6268;21499;29,154844411368
2021-11-04;6804;32685;20,8168884809546
2021-11-05;7134;33782;21,1177550174649
2021-11-06;6242;33782;18,4772956012077
2021-11-07;4458;28955;15,3963046106027
2021-11-08;4588;19871;23,0889235569423
