1585872000-1586476800:0.1335,0.1874,0.0398,0.2377,0.0639,0.0422,0.0056,0.0923,0.3056,0.5713,0.2133,0.8202,0.5278,0.0949,0.0600,0.0000,0.1424,0.2375,0.9392,0.4985,0.8542,0.1774,0.1148,0.0000,1.8295,1.0715,0.3184,0.9942,0.7309,0.3419,0.2265,0.0666,0.1438,0.5058,1.0669,0.7107,1.0137,0.3248,0.2133,0.0904,0.2530,0.1008,0.1281,0.1862,0.1838,0.4861,0.2161,0.0147,0.0587,0.0521,0.0668,0.0701,0.1339,0.1080,0.2652,0.1591,0.0000,0.0310,0.0263,0.0320,0.0791,0.1081,0.0259,0.1701
1585958400-1586563200:0.2747,0.2491,0.0371,0.2296,0.0524,0.0621,0.0042,0.1133,0.4439,0.6480,0.2089,0.7850,0.4950,0.1185,0.0726,0.0000,0.2467,0.3284,0.9163,0.5252,0.9144,0.1896,0.0957,0.0000,1.6962,1.0973,0.2967,0.9141,0.6924,0.2762,0.1202,0.6424,0.2354,0.7775,1.0440,0.6196,1.0396,0.2730,0.1400,0.3941,0.1676,0.0736,0.1272,0.1848,0.1866,0.4444,0.2268,0.1967,0.0157,0.0258,0.0614,0.0661,0.1380,0.0941,0.2697,0.1020,0.0000,0.0000,0.0259,0.0289,0.0888,0.1377,0.0203,0.2176
1586044800-1586649600:0.3124,0.2461,0.0329,0.2324,0.0549,0.0693,0.0058,0.1325,0.5163,0.7164,0.2032,0.7900,0.4862,0.1326,0.0440,0.0000,0.2539,0.3514,0.9181,0.4998,0.9192,0.1883,0.0726,0.0000,1.7472,1.1402,0.2819,0.8635,0.6039,0.2614,0.1278,0.2529,0.1727,0.8072,1.0528,0.5675,0.9974,0.2495,0.0882,0.1089,0.2105,0.1045,0.1311,0.1844,0.1401,0.4096,0.2218,0.2330,0.0157,0.0202,0.0638,0.0629,0.1095,0.0927,0.2967,0.1162,0.0000,0.0000,0.0261,0.0319,0.0742,0.1485,0.0277,0.2524
1586131200-1586736000:0.2794,0.2346,0.0360,0.2389,0.0433,0.0903,0.0148,0.0000,0.4352,0.7096,0.2099,0.8123,0.4673,0.1048,0.0248,0.0000,0.3550,0.3644,0.9439,0.5209,0.8950,0.1646,0.0380,0.0000,1.7077,1.1550,0.3303,0.8755,0.5898,0.2567,0.1021,0.2394,0.2928,0.8218,1.1320,0.5614,1.0291,0.2852,0.0670,0.0391,0.1435,0.0725,0.1331,0.1863,0.1420,0.4783,0.1752,0.0000,0.0227,0.0257,0.0760,0.0925,0.1165,0.1081,0.2640,0.1369,0.0214,0.0042,0.0291,0.0325,0.0864,0.2196,0.0311,0.1321
1586217600-1586822400:0.2814,0.2157,0.0344,0.2472,0.0660,0.1389,0.0121,0.0000,0.3875,0.6958,0.2002,0.8178,0.5068,0.1062,0.0099,0.0000,0.3253,0.3241,0.9649,0.5740,0.9399,0.1479,0.0354,0.0000,1.7251,1.1041,0.3241,0.9291,0.6375,0.2591,0.1154,0.2889,0.3161,0.8488,1.1772,0.6279,1.0866,0.2689,0.0398,0.0427,0.1468,0.0664,0.1415,0.2016,0.1515,0.4954,0.1749,0.0000,0.0305,0.0325,0.0822,0.1147,0.1154,0.1209,0.2385,0.1561,0.0239,0.0039,0.0307,0.0340,0.1038,0.2311,0.0183,0.1561
1586304000-1586908800:0.2815,0.2473,0.0425,0.3158,0.0623,0.1224,0.0145,0.0000,0.4787,0.6895,0.2177,0.7076,0.4689,0.0946,0.0147,0.0000,0.3041,0.3160,1.0184,0.6376,0.7950,0.1356,0.0424,0.0000,1.6872,1.1794,0.4101,0.8887,0.5343,0.2255,0.0648,0.3608,0.3588,0.8417,1.2371,0.5338,1.0764,0.2023,0.0394,0.0061,0.1337,0.0787,0.1648,0.2191,0.1217,0.4036,0.1711,0.0000,0.0223,0.0374,0.1014,0.1482,0.1021,0.1690,0.2280,0.1669,0.0204,0.0030,0.0350,0.0228,0.0560,0.1677,0.0037,0.0806
1586390400-1586995200:0.2817,0.2522,0.0655,0.3621,0.0744,0.0938,0.0270,0.0000,0.4800,0.7058,0.2470,0.7768,0.4107,0.0957,0.0163,0.0507,0.3018,0.3298,1.0039,0.5437,0.6251,0.1423,0.0385,0.0000,1.6875,1.1825,0.4235,0.9221,0.4871,0.1725,0.0822,0.3509,0.3611,0.8795,1.2836,0.3674,1.0559,0.2133,0.0557,0.0040,0.1370,0.0815,0.1702,0.1884,0.1147,0.4225,0.2512,0.0000,0.0221,0.0383,0.1089,0.1254,0.0710,0.1784,0.2859,0.1854,0.0199,0.0031,0.0357,0.0136,0.0484,0.1742,0.0052,0.3172
1586476800-1587081600:0.2744,0.2646,0.0660,0.3624,0.0980,0.0975,0.0325,0.0000,0.5009,0.7295,0.2566,0.7625,0.4402,0.0671,0.0207,0.0530,0.3028,0.3191,1.0054,0.5573,0.5932,0.1377,0.0387,0.0000,1.6052,1.2276,0.4096,1.1414,0.5076,0.2080,0.0969,0.3450,0.3737,0.8556,1.2711,0.4032,1.1693,0.2536,0.0802,0.0033,0.1090,0.0779,0.1592,0.1889,0.1086,0.5177,0.3056,0.0000,0.0216,0.0383,0.1053,0.1319,0.0612,0.2473,0.3435,0.1869,0.0112,0.0031,0.0350,0.0202,0.0438,0.1517,0.0227,0.3070
1586563200-1587168000:0.2887,0.2481,0.0708,0.3554,0.0906,0.0923,0.0372,0.0000,0.4765,0.7560,0.2647,0.7968,0.4569,0.0649,0.0058,0.0000,0.3078,0.2645,1.0091,0.5040,0.6017,0.1459,0.0276,0.0000,1.6739,1.2150,0.4018,0.8896,0.4997,0.1801,0.0834,0.3091,0.3857,0.8155,1.2565,0.3959,1.1420,0.2666,0.0598,0.0031,0.1183,0.0880,0.1577,0.1744,0.1020,0.5144,0.3376,0.0000,0.0274,0.0631,0.1142,0.1266,0.0691,0.2470,0.3374,0.1980,0.0249,0.0077,0.0353,0.0212,0.0454,0.1563,0.0315,0.3187
1586649600-1587254400:0.2478,0.2471,0.0678,0.3421,0.0882,0.0900,0.0348,0.0000,0.5002,0.7642,0.2614,0.7442,0.4780,0.0618,0.0054,0.0000,0.3015,0.3048,1.0115,0.5023,0.6266,0.1403,0.0263,0.0000,1.6820,1.2171,0.4054,1.1096,0.5473,0.1914,0.2048,0.0000,0.4250,0.8463,1.2716,0.4113,1.1428,0.2644,0.0854,0.0000,0.1077,0.0941,0.1631,0.1689,0.1102,0.4926,0.4053,0.0000,0.0309,0.0562,0.1127,0.1239,0.0724,0.2712,0.3513,0.2847,0.0198,0.0099,0.0367,0.0174,0.0463,0.1509,0.2008,0.4618
